Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Contamination,Marine Mammals,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.,NA,NA,NA,Reduces risk of contamination/pollution escaping from structure.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Kyle Rhea Tidal Stream Array Project, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, Torr Head Project"
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Reptiles,Sea turtles,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,Ensure standard notifications of loss of fishing gear in region notified to operators. Reporting of entanglement events.,Good practice for emergency preparedness.,NA,Low,NA,Good practice for emergency preparedness.,Chances of lost fishing gear being reported is reportedly low.,NA,NA
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Contamination,Fish,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Ccontainment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.,NA,NA,NA,Reduces risk of contamination/pollution escaping from structure.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, West Islay Tidal Energy Park: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, West Islay Tidal Project Energy Park, Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, Torr Head Project"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Habitat,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimizes change in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Ramsey Sound Tidal Energy Limited Scoping Report","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen), Ramsey Sound"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Birds,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Installation of ADCPs and turbulence sensors to better understand the baseline tidal flow conditions and hence the change in tidal flow due to presence of the device(s).,NA,NA,NA,NA,Reduce scientific uncertainty,NA,"Ramsey Sound Tidal Energy Limited Scoping Report, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd","Ramsey Sound, Tocardo InToTidal at EMEC"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Underwater noise,Marine Mammals,NA,The potential effects from underwater noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites (e.g., known seal haul outs during sensitive periods, defining appropriate clearance distances where necessary).","This could reduce potential effects on sensitive species during sensitive periods, however may could increase project construction timescales e.g. if continuous drilling time is restricted or specific periods need to be avoided.",NA,NA,When in close proximity to designated sites.,Could reduce potential effects on sensitive species during sensitive periods.,"Could increase project construction timescales (e.g., if continuous drilling time is restricted or specific periods need to be avoided).","Lashy Sound Tidal Array Scoping Report, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Fall of Warness Test Site: Environmental Appraisal, Strangford Lough Marine Current Turbine: Environmental Statement, EMEC Billia Croo Test Site: Environmental Appraisal, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Fair Head Tidal Energy Park Environmental Statement","HS1000 at EMEC, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Strangford Lough - MCT (SeaGen), EMEC Billia Croo Grid-Connected Wave Test Site, Fair Head Tidal Array, Tocardo InToTidal at EMEC, Galway Bay Test Site, PacWave South Test Site, Fair Head Tidal Array"
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in device mooring lines and cables.,Minimise the number of mooring lines.,NA,NA,NA,NA,Reduce risk of entanglement.,Could be a costly measure for technology developers.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Habitat,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,Orbital O2 Environmental Monitoring Programme,Mocean Wave Energy Converter: Blue Horizon
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Lay cables in natural crevices.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Birds,Roosting birds,The introduction of infrastructure and artificial substrates will provide potential roosting habitat.,Monitor use of device as a roosting platform.,"Reduces scientific uncertainty around collision risk, displacement and other impacts, however this type of monitoring can be expensive.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change.,"Reduces scientific uncertainty around collision risk, displacement, and other impacts.","Data mortgage (concept of generating data more quickly than it can be analysed).
Could be expensive to monitor.","West Islay Tidal Energy Park: Environmental Statement, Orbital O2 Environmental Monitoring Programme",West Islay Tidal Project Energy Park
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Marine Mammals,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. - selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes).",NA,NA,NA,Reduces/removes risk of contamination/pollution from materials which may have escaped structure.,"Use of lower toxicity materials may compromise performance, or impact other technical issues (e.g., fluid changes.)","EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Galway Bay Test Site, Torr Head Project"
"Wave, Tidal","Design feature, Monitoring",Operation & Maintenance,Entanglement,Reptiles,Sea turtles,Potential for marine animals to become entangled in device mooring lines and cables.,Routine inspections of mooring lines. Implement features into existing control systems to detect entanglement events.,Removes/reduces risk of entanglement and is a low cost monitoring capability.,"This forms part of normal operational procedures, gear would be removed if it could have an affect on the integrity of the mooring line.",No additional cost as forms part of normal procedure.,NA,"Remove/reduce risk of entanglement.
Likely to be required as part of the technical monitoring of the device and therefore not an additional cost.",Could be a costly measure for technology developers if not required as part of technical monitoring of device.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Fish,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. - selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Alrhough, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes).",NA,NA,NA,Reduces/removes risk of contamination/pollution from materials which may have escaped structure.,"Use of lower toxicity materials may compromise performance, or impact other technical issues (e.g., fluid changes.)","EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, West Islay Tidal Energy Park: Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, HS1000 at EMEC, West Islay Tidal Project Energy Park, Galway Bay Test Site, Torr Head Project"
